Company Name,Equity,Ticker Symbol,E,E out of 100,S,G,ESG,EPS,Profit Margin ,Tobin's Q,Return on Asset,Return on Equity,Debt To Market Cap Ratio,Total Asset Turnover,Price to Sales Ratio
Hanwha Corp,KS Equity,000880 KS Equity,0.4,7,0.4,2.5,1.1,863.333332333333,0.611192795098093,0.990837722234311,0.288494316099918,9.72155147945542,4.77981353106794,0.312051319155432,0.0600351716235564
Mitsubishi Shokuhin Co Ltd,JP Equity,7451 JP Equity,1.1,21,1.2,2.3,1.53333333333333,50.4866666666667,0.445298012930817,1.02423706976264,1.65253019366099,7.17011105324762,0.0446652640182978,3.58156798471926,0.0736962517038486
Doosan Corp,KS Equity,000150 KS Equity,1.6,31,3,2.3,2.3,-17.6032343333333,0.0120431930695985,0.980031414640803,0.0033393004631286,-0.048393227665068,5.54735785368918,0.609289593489147,0.101854850214388
SK Networks Co Ltd,KS Equity,001740 KS Equity,0.4,7,0.3,2.1,0.933333333333333,50.81121,0.622181593093391,0.900873103531378,-0.0787826131766017,-0.241107041824037,1.48872605653257,1.83643389813234,0.102239189981483
Cosmo Energy Holdings Co Ltd,JP Equity,5021 JP Equity,2.7,53,2.7,3.3,2.9,270.068666666667,3.45666018594935,1.04474524543996,4.66490476803837,43.7101271063224,3.11528426848081,1.5536398615247,0.112338852315676
Posco Daewoo Corp,KS Equity,047050 KS Equity,1.4,27,1,2,1.46666666666667,414.048931,0.862100297545133,0.963470814919556,1.6594012450218,5.3317958840066,1.64911983403098,2.55675673013327,0.115697303898792
Uniper SE,GR Equity,UN01 GR Equity,3.3,65,2.7,3.3,3.1,-1.37769133333333,-2.73742734881057,0.92284145704136,-0.160956566447096,-0.136039514252696,0.303145315071324,1.64370509314402,0.12096882300429
AmerisourceBergen Corp,US Equity,ABC US Equity,0.6,11,1.3,5,2.3,1.22762833333333,0.649829366429957,1.44513323829365,2.06424773085647,28.8430375567093,0.214184682515281,4.4143003671217,0.123528201288094
Doosan Heavy Industries & Construction Co Ltd,KS Equity,034020 KS Equity,3.9,77,2.6,2.4,2.96666666666667,-911.927282,-2.51654041832277,0.937843903543453,-1.43984427833891,-11.3197088400985,6.24913662727234,0.58393379036586,0.124638254326362
Tokyo Electric Power Co Holdings Inc,JP Equity,9501 JP Equity,0.8,15,0.7,3,1.5,35.3666666666667,3.60943846979503,0.928228764328611,1.65624534810601,14.1408445896025,8.27407334971035,0.459951649456267,0.131204218162283
Casino Guichard Perrachon SA,FP Equity,CO FP Equity,3.7,73,4.4,4,4.03333333333333,1.405443,1.0715771951727,0.98357575614261,0.299087782264095,1.04994750262487,1.86685220848223,0.942674841732715,0.13991469508914
Japan Display Inc,JP Equity,6740 JP Equity,3.4,67,1.5,2,2.3,-119.593333333333,-44.4122017531151,0.929030859500206,-18.6155280447301,-64.0220637998935,1.32004865862897,0.95770188302926,0.142976687647477
CECONOMY AG,GR Equity,CEC GR Equity,3.6,71,4,4,3.86666666666667,0.836756666666667,4.91158919036394,1.29793087940212,10.0299620128507,200.403097043367,0.181733938885635,2.06499418771408,0.148893551923642
McKesson Corp,US Equity,MCK US Equity,0.8,15,1.7,5,2.5,-0.406666666666667,-0.17787919052923,1.31745719148083,5.13112901701253,31.3590537851303,0.263337306909081,3.36862012269097,0.156861872586854
Medipal Holdings Corp,JP Equity,7459 JP Equity,0.3,5,0.9,2,1.06666666666667,42.9593333333333,1.22134033503202,1.00247460539564,2.09683622191101,7.28963381592694,0.102089797551394,1.98353215207607,0.157375288333477
Global Brands Group Holding Ltd,HK Equity,787 HK Equity,2,39,3.4,2.3,2.56666666666667,-0.055071,-20.0302808515021,0.723754876484067,-7.90186377051372,-19.4187268557264,1.83014616698475,0.739694893301588,0.166712469076615
CJ Corp,KS Equity,001040 KS Equity,0,0,0.4,1.6,0.666666666666667,3423.99999566667,1.38547355377842,1.01597527731454,1.66821897900489,7.95616656337532,2.15926208858659,0.956471052925049,0.17113589569731
SK Holdings Co Ltd,KS Equity,034730 KS Equity,1.3,25,2.3,3.5,2.36666666666667,7977.99999966667,1.83516818269425,1.01876046609787,1.49758111861241,11.6539388840068,1.62375005273008,0.878648471307743,0.17437406255168
Idemitsu Kosan Co Ltd,JP Equity,5019 JP Equity,1.4,27,1,3,1.8,223.673333333333,4.79414763484151,0.995749687867356,5.66657715684426,22.5243861816668,1.32219302359695,1.34289035745797,0.179216381089245
